latitude,longitude,state,grid_cell_id,population_total,population_at_risk,area_km2,density_per_km2,elevation_proxy_m,landslide_exposure_class,is_synthetic,data_source
27.05,88.05,Sikkim,POP_00000,11488,3446,109.78,104.6,1216.6,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.05,Sikkim,POP_00001,25739,7721,109.68,234.7,1485.6,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.05,Sikkim,POP_00002,8438,2531,109.58,77.0,1369.7,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.05,Sikkim,POP_00003,14797,8878,109.49,135.1,1674.1,HIGH,True,SYNTHETIC_DEMO
27.45,88.05,Sikkim,POP_00004,3696,1108,109.39,33.8,1362.5,MEDIUM,True,SYNTHETIC_DEMO
27.55,88.05,Sikkim,POP_00005,37750,11325,109.29,345.4,1343.1,MEDIUM,True,SYNTHETIC_DEMO
27.65,88.05,Sikkim,POP_00006,7243,4345,109.19,66.3,1662.0,HIGH,True,SYNTHETIC_DEMO
27.75,88.05,Sikkim,POP_00007,31256,9376,109.09,286.5,1352.8,MEDIUM,True,SYNTHETIC_DEMO
27.85,88.05,Sikkim,POP_00008,44586,4458,108.99,409.1,664.0,LOW,True,SYNTHETIC_DEMO
27.95,88.05,Sikkim,POP_00009,6454,1936,108.89,59.3,1292.9,MEDIUM,True,SYNTHETIC_DEMO
28.05,88.05,Sikkim,POP_00010,30602,18361,108.79,281.3,1754.2,HIGH,True,SYNTHETIC_DEMO
28.15,88.05,Sikkim,POP_00011,12544,3763,108.69,115.4,1224.3,MEDIUM,True,SYNTHETIC_DEMO
27.05,88.15,Sikkim,POP_00012,5582,1674,109.78,50.8,1441.5,MEDIUM,True,SYNTHETIC_DEMO
27.15,88.15,Sikkim,POP_00013,4418,1325,109.68,40.3,1380.0,MEDIUM,True,SYNTHETIC_DEMO
27.25,88.15,Sikkim,POP_00014,12634,3790,109.58,115.3,1159.0,MEDIUM,True,SYNTHETIC_DEMO
27.35,88.15,Sikkim,POP_00015,15834,4750,109.49,144.6,1474.8,MEDIUM,True,SYNTHETIC_DEMO
